concept1,ICD9CM,relationship1,concept2,SNOMED,relationship2,concept3,ICD10CM
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, right hand",M10.141
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, right hand",M10.141
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, right ankle and foot",M10.071
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, right ankle and foot",M10.071
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, right shoulder",M10.011
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, right shoulder",M10.011
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, unspecified site",M10.00
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, unspecified site",M10.00
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified ankle and foot, with tophus (tophi)",M1A.4791
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified ankle and foot, with tophus (tophi)",M1A.4791
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified ankle and foot, with tophus (tophi)",M1A.4791
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified ankle and foot, with tophus (tophi)",M1A.4791
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified ankle and foot, with tophus (tophi)",M1A.4791
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified hip, with tophus (tophi)",M1A.4591
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified hip, with tophus (tophi)",M1A.4591
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified hip, with tophus (tophi)",M1A.4591
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified hip, with tophus (tophi)",M1A.4591
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified hip, with tophus (tophi)",M1A.4591
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified ankle and foot, without tophus (tophi)",M1A.3790
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified ankle and foot, without tophus (tophi)",M1A.3790
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified elbow, with tophus (tophi)",M1A.3291
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified elbow, with tophus (tophi)",M1A.3291
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified elbow, with tophus (tophi)",M1A.3291
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified elbow, with tophus (tophi)",M1A.3291
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified elbow, with tophus (tophi)",M1A.3291
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, multiple sites, without tophus (tophi)",M1A.39X0
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, multiple sites, without tophus (tophi)",M1A.39X0
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified shoulder, without tophus (tophi)",M1A.3190
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified shoulder, without tophus (tophi)",M1A.3190
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right elbow, with tophus (tophi)",M1A.2211
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right elbow, with tophus (tophi)",M1A.2211
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, right elbow, with tophus (tophi)",M1A.2211
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, right elbow, with tophus (tophi)",M1A.2211
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, right elbow, with tophus (tophi)",M1A.2211
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right shoulder, without tophus (tophi)",M1A.2110
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right shoulder, without tophus (tophi)",M1A.2110
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left ankle and foot, with tophus (tophi)",M1A.0721
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left ankle and foot, with tophus (tophi)",M1A.0721
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, left ankle and foot, with tophus (tophi)",M1A.0721
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, left ankle and foot, with tophus (tophi)",M1A.0721
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, left ankle and foot, with tophus (tophi)",M1A.0721
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right hand, without tophus (tophi)",M1A.0410
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right hand, without tophus (tophi)",M1A.0410
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, left knee",M10.462
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, left ankle and foot",M10.272
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, left ankle and foot",M10.272
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, unspecified hand",M10.249
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, unspecified hand",M10.249
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, left hand",M10.042
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, left hand",M10.042
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, vertebrae, without tophus (tophi)",M1A.08X0
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, vertebrae, without tophus (tophi)",M1A.08X0
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, left ankle and foot, with tophus (tophi)",M1A.2721
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, left ankle and foot, with tophus (tophi)",M1A.2721
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, left ankle and foot, with tophus (tophi)",M1A.2721
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left ankle and foot, with tophus (tophi)",M1A.2721
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left ankle and foot, with tophus (tophi)",M1A.2721
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified site, without tophus (tophi)",M1A.20X0
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified site, without tophus (tophi)",M1A.20X0
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right hand, with tophus (tophi)",M1A.4411
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right hand, with tophus (tophi)",M1A.4411
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, right hand, with tophus (tophi)",M1A.4411
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, right hand, with tophus (tophi)",M1A.4411
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, right hand, with tophus (tophi)",M1A.4411
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout, unspecified, without tophus (tophi)",M1A.9XX0
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout, unspecified, without tophus (tophi)",M1A.9XX0
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified hand, with tophus (tophi)",M1A.4491
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified hand, with tophus (tophi)",M1A.4491
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified hand, with tophus (tophi)",M1A.4491
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified hand, with tophus (tophi)",M1A.4491
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified hand, with tophus (tophi)",M1A.4491
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, vertebrae, without tophus (tophi)",M1A.38X0
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, vertebrae, without tophus (tophi)",M1A.38X0
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified knee, without tophus (tophi)",M1A.3690
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified knee, without tophus (tophi)",M1A.3690
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right elbow, with tophus (tophi)",M1A.3211
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right elbow, with tophus (tophi)",M1A.3211
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, right elbow, with tophus (tophi)",M1A.3211
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, right elbow, with tophus (tophi)",M1A.3211
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, right elbow, with tophus (tophi)",M1A.3211
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, vertebrae, with tophus (tophi)",M1A.28X1
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, vertebrae, with tophus (tophi)",M1A.28X1
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, vertebrae, with tophus (tophi)",M1A.28X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, vertebrae, with tophus (tophi)",M1A.28X1
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, vertebrae, with tophus (tophi)",M1A.28X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, vertebrae, with tophus (tophi)",M1A.08X1
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, vertebrae, with tophus (tophi)",M1A.08X1
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, vertebrae, with tophus (tophi)",M1A.08X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, vertebrae, with tophus (tophi)",M1A.08X1
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, vertebrae, with tophus (tophi)",M1A.08X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right hip, without tophus (tophi)",M1A.0510
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right hip, without tophus (tophi)",M1A.0510
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, unspecified hip",M10.459
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, unspecified shoulder",M10.419
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, left hand",M10.242
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, left hand",M10.242
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, right ankle and foot",M10.171
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, right ankle and foot",M10.171
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, left elbow",M10.122
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, left elbow",M10.122
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, unspecified knee",M10.369
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left ankle and foot, without tophus (tophi)",M1A.2720
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left ankle and foot, without tophus (tophi)",M1A.2720
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, left hip",M10.452
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified ankle and foot, without tophus (tophi)",M1A.4790
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified ankle and foot, without tophus (tophi)",M1A.4790
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left hip, with tophus (tophi)",M1A.4521
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left hip, with tophus (tophi)",M1A.4521
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, left hip, with tophus (tophi)",M1A.4521
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, left hip, with tophus (tophi)",M1A.4521
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, left hip, with tophus (tophi)",M1A.4521
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left wrist, with tophus (tophi)",M1A.4321
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left wrist, with tophus (tophi)",M1A.4321
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, left wrist, with tophus (tophi)",M1A.4321
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, left wrist, with tophus (tophi)",M1A.4321
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, left wrist, with tophus (tophi)",M1A.4321
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left shoulder, with tophus (tophi)",M1A.4121
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left shoulder, with tophus (tophi)",M1A.4121
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, left shoulder, with tophus (tophi)",M1A.4121
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, left shoulder, with tophus (tophi)",M1A.4121
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, left shoulder, with tophus (tophi)",M1A.4121
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left hip, without tophus (tophi)",M1A.3520
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left hip, without tophus (tophi)",M1A.3520
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified ankle and foot, without tophus (tophi)",M1A.2790
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified ankle and foot, without tophus (tophi)",M1A.2790
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified knee, with tophus (tophi)",M1A.3691
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified knee, with tophus (tophi)",M1A.3691
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified knee, with tophus (tophi)",M1A.3691
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified knee, with tophus (tophi)",M1A.3691
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified knee, with tophus (tophi)",M1A.3691
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, multiple sites",M10.49
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, right elbow",M10.421
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, unspecified ankle and foot",M10.179
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, unspecified ankle and foot",M10.179
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, left ankle and foot, with tophus (tophi)",M1A.0721
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, right shoulder",M10.011
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, left shoulder",M10.012
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, right hand, with tophus (tophi)",M1A.0411
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, right hip",M10.051
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, vertebrae, with tophus (tophi)",M1A.08X1
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, right ankle and foot",M10.071
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, left ankle and foot",M10.072
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, left elbow, with tophus (tophi)",M1A.0221
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, left hand, with tophus (tophi)",M1A.0421
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, unspecified site",M10.00
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, left knee, with tophus (tophi)",M1A.1621
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, left knee, with tophus (tophi)",M1A.1621
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, left knee, with tophus (tophi)",M1A.1621
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified hip, with tophus (tophi)",M1A.1591
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified hip, with tophus (tophi)",M1A.1591
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified hip, with tophus (tophi)",M1A.1591
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, left hand",M10.042
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, left wrist",M10.032
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, unspecified elbow, with tophus (tophi)",M1A.0291
Gout with other specified manifestations,274.8,Maps to,Gout,90560007,Mapped from,Chronic gout,M1A
"Gout, unspecified",274.9,Maps to,Gout,90560007,Mapped from,Chronic gout,M1A
Gout,274,Maps to,Gout,90560007,Mapped from,Chronic gout,M1A
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, ankle and foot",M1A.07
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, hip",M1A.05
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, elbow",M1A.02
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, right elbow",M1A.021
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, hip",M10.05
Gout with other specified manifestations,274.8,Maps to,Gout,90560007,Mapped from,"Chronic gout, unspecified",M1A.9
"Gout, unspecified",274.9,Maps to,Gout,90560007,Mapped from,"Chronic gout, unspecified",M1A.9
Gout,274,Maps to,Gout,90560007,Mapped from,"Chronic gout, unspecified",M1A.9
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, knee",M10.06
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, vertebrae",M1A.08
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, right hand",M1A.041
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, left hand",M1A.042
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, right shoulder",M1A.011
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified knee, without tophus (tophi)",M1A.4690
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified knee, without tophus (tophi)",M1A.4690
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified wrist, with tophus (tophi)",M1A.2391
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified wrist, with tophus (tophi)",M1A.2391
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified wrist, with tophus (tophi)",M1A.2391
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified wrist, with tophus (tophi)",M1A.2391
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified wrist, with tophus (tophi)",M1A.2391
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified elbow, with tophus (tophi)",M1A.2291
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified elbow, with tophus (tophi)",M1A.2291
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified elbow, with tophus (tophi)",M1A.2291
